Construction protective equipment;Средства индивидуальной защиты;
Construction equipment;Құрылыс жабдықтары;
Building materials;Құрылыс материалдары;
Electrical equipment;Электрика;
Audio;Аудио техникасы;
Video;Видео техникасы;
Headphones;Құлаққаптар мен гарнитуралар;
Entertainment;Ойын-сауық;
Stage equipment;Сахна жабдықтары;
TVs;Телевизоры;
Photo_Video;Фото- видеокамералар;
Phone accessories;Телефондардың керек-жарағы;
Gadgets;Гаджеттер;
Mobiles;Мобильные телефоны;
Cordless telephones;Радиотелефоны;
Smartphones;Смартфоны;
Satellite phones and communicators;Спутник телефондар мен коммуникаторлар;
Vegetable garden goods;Саяжай, бау-бақша;
Home textiles;Үйге арналған мата бұйымдар;
Home interior;Үй жасауы;
Lighting;Жарық шамдары;
Kitchenware;Ыдыс-аяқ пен керек-жарақ;
Smart house;Smart үй;
Household goods;Шаруашылық тауарлары;
Pet accessories;Жануарлардың керек-жарағы;
Veterinary pharmacy;Жануарлардың дәрі-дәрмегі;
Hygiene and care for animals;Жануарлардың тазалығы мен күтімі;
Pet grooming;Жануарларды қырқу;
Rodents goods;Кеміргіштерге;
Cat goods;Мысықтарға;
Bird goods;Құстарға;
Fish and reptiles goods;Балықтар мен қосмекенділерге;
Livestock goods;Малға;
Dog goods;Иттерге;
Imitation jewelry;Бижутерия;
Jewelry Equipment;Зергерлік жабдықтар, тұғырлар мен фурнитура;
Jewelry;Зергерлік бұйымдар;
Car business cards;Автокөлік есімхаттары;
Car wheel covers;Автокөлік тығындары;
Car awnings;Автокөлік маркиздері;
Car organizers and bags;Автокөлік органайзерлер мен  сөмкелері;
Car ashtrays;Автокөлікке қоятын күлсалғыш;
Car pillows;Автокөлікке қоятын жастық;
Car curtains;Автокөлікке қоятын перде мен шатыр;
Car tents;Автокөлік шатыр-қаптары;
Hood and trunk stops;Капот пен жүксалғыштың газ тіректері;
Protective tents-covers;Қорғаныс тент жабындары;
Car mats and accessories;Автокөлік төсеніштері мен керек-жарағы;
Sets for motorist;Автокөлік жүргізушісінің жинағы;
Car dashboard covers;Автокөліктердің саймандар тақтасына жапқыштар;
Steering wheel covers;Көлік рулін қаптайтын орамалар;
Security bolts and nuts;Жасырын бұрандалар мен гайкалар;
Hub spacers;Ступица қондырғылары;
Automotive seat covers;Автокөлік орындықтарының қаптары;
Wiper blades;Әйнек тазалағыш қылшақтары;
FM-transmitters;FM-трансмиттер;
Head units;Автомагнитолла;
Car amplifiers;Көліктегі дыбыс күшейткіштер;
Car audio accessories;Автокөліктегі аудиотехниканың керек-жарағы;
Acoustic boxes and podiums for cars;Автокөліктерге акустика қораптары мен көтергіштері;
Car acoustic;Колонкалар мен сабвуферлер;
Frames for car radios;Автомагнитолланың өткізкіш жақтаулары;
Car airbags;Автокөліктің қауіпсіздік жастығы;
Car signals;Автокөлік дабылы;
Car filters;Автокөлік сүзгілері;
Autoeletrics;Автоэлектрика;
Shock absorbers;Амортизаторлар;
Car tanks;Сұйық құятын қауға;
Car exhaust system;Түтін шығару жүйесі;
Tire pressure sensors;Дөңгелектегі қысым датчиктері;
Car oxygen sensors;Оттегі датчиктері;
Mass air flow sensors;Ауа жұмсалуын қадағалайтын датчик;
Engines;Қозғалтқыштар;
Car interior parts;Салонның заттары;
Car body parts;Шанақ детальдары;
Pumps and compressors;Сорғылар мен компрессорлар;
Car steering column cables;Руль астындағы шлейф;
Timing belts and chains;Газтаратушы механизмнің баулары мен шынжырлары;
Steering racks;Руль рейкалары;
Candles and high voltage wires;Шамдар мен жоғары кернеулі сымдар;
Cooling system;Салқындату жүйесі;
Brake system;Тежегіш жүйелері;
Transmission and chassis;Беріліс және жүріс бөлімі;
Turbochargers;Турбоайдағыштар;
Engines and engine parts;Қозғалтқыш элементтері;
Jacks;Автокөлік домкраттары мен тіреуіштері;
Balancing Machine Quick Clamping Nuts;Теңшеу станоктарына арналған жылдам қысатын гайкалар;
Car inspection mirrors;Автокөлікті тексеруге арналған инспекциялық айналар;
Tool for piston group;Поршень тобына арналған құрал-жабдық;
Cylinder head repair tools;Цилиндрлер блогының басын жөндейтін құрал-жабдық;
Brake system tools;Тежегіш жүйесіне арналған құрал-жабдық;
Keys and heads for lambda probe;Лямбда-зондқа арналған кілттер мен кілт бастары;
Grease Gun Accessories;Майлау шприцтеріне арналған қосалқы бөлшектер;
Accessories for jacks;Домкраттардың қосалқы бөлшектері;
Magnetic trays and plates;Магнит тіреуіштер мен табақтар;
Piston ring mandrels and extractors;Поршень сақиналарына арналған жақтаулар мен алынатын детальдар;
Plunger grease guns;Майлауға арналған плунжерлі шприцтер;
Pneumatic tire inflator;Дөңгелекке жел толтыруға арналған пневмопистолеттер;
Bodywork straightening tool;Шанақ жөндеу жұмыстарына арналған ри;
Pullers for steering;Руль жетегін ағытқыш ;
Clip and cap strippers;Салон қаптамасының клипсалары мен пситондарын ағытқыш;
Bearing pullers;Подшипник ағытқыш;
Spring removers;Серіппе ағытқыш;
Filter strippers;Фильтр ағытқыш;
Spray booths filters;Бояу камералараның фильтрлері;
Exhaust Hoses;Түтінді бұрып әкететін шланг;
Car air compressors;Автокомпрессорлар;
Car inverters and converters;Автокөлік инверторлары және кернеуді түрлендіргіштер;
Car winches;Автокөлік шығыршықтары;
Car vacuum cleaners;Автокөлік шаңсорғыштары;
Car refrigerators;Автокөлікке қоятын тоңазытқыш;
Tow hitch accessories;Фаркоп керек-жарағы;
Tow ropes;Көлік тіркейтін тростар;
Chargers and starters for batteries;Аккумуляторды қуаттайтын және оталдырып қуаттайтын құрылғылар;
Load forks;Аккумулятор күйін өлшегіш;
Heaters for the engine and car interior;Мотор мен салонды жылытқыш, салқындатқыш;
Car battery clips;Оталдыру сымдары;
Tire pressure monitoring systems;Дөңгелектегі қысымды қадағалау жүйесі;
Fuel canisters;Жанармай құятын канистра;
Thermal insulation for car;Автокөлікті жылыту қаптамалары;
Hitch mounts;Фаркоп;
Snow chains for cars;Автокөлік дөңгелегін сырғанаудан сақтайтын шынжыр;
Car lamps;Автокөлік лампалары;
Ignition blocks;Тұтату блоктары;
Additional car lighting;Автокөліктің қосымша жарығы;
Car headlights;Фаралар мен линзалар;
Car alarms;Автокөліктің дабыл жүйесі;
Anti-theft devices accessories;Автокөлікті ұрылардан қорғайтын жүйенің керек-жарағы;
Key fobs and covers for car alarms;Автосигнализация қабы мен салпыншағы;
Stands for turning brake discs;Тежегіш дискілерін егейтін стендтер;
Car lifts;Көлік көтергіштер;
Car balancing machines;Баланстайтын станоктар;
Car expanders;Борт кеңейткіштер;
Baths for checking car tires and tubes;Автокөлік дөңгелектері мен камераларын тексеретін ванналар;
Vulcanizers;Вулканизаторлар;
Oil drain containers;Май жинайтын ыдыстар;
Gas stations for car air conditioners;Автокөлік кондиционеріне сұйық құятын станциялар;
Infrared dryers for car services;Инфрақызыл кептіргіштер;
Dispensing reels;Таратқыш катушкалар;
Oil dispensers and lubrication blowers;Май тарату құрылғылары және жағармай айдағыштар;
Car service furniture;Автосервиске арналған жиһаз;
Pumps for transferring technical liquids;Насосы для перекачки технических жидкостей;
Press machines;Пресс-станоктар;
Car diagnostic equipment;Автокөлікке диагностика жасайтын құралдар;
Devices for adjusting and checking headlights;Фар жарығын реттеп, тексеретін құралдар;
Stends for rims straightening;Дөңгелек дискілерін түзеу стендтері;
Stands for testing and flushing injectors;Форсункаларды тексеріп, жуатын стендтер;
Alignment stands;Геометрия стендтері;
Racks for painting parts;Детальдарды бояйтын тұғырлар;
Fuel dispenser equipment;Отын таратқыш жабдықтар;
Transmission racks;Трансмиссия тіреуіштері;
Washers for parts;Детальдарды жуатын қондырғылар;
Installations for cleaning the cooling system and changing the coolant;Салқындату жүйесін тазалауға және салқындататын сұйықты алмастыруға арналған қондырғылар;
Plants for the collection of oils and technical fluids;Май мен техникалық сұйықтарды жинайтын қондырғылар;
Car tire changers;Дөңгелек монтаждайтын станоктар;
Auto painting works;Автокөлік бояу жұмыстары;
Adhesives and fixatives for car repair;Автокөлік жөндеуге арналған желім, герметик, бекіткіштер;
Car wash accessories;Автокөлік жууға керек-жарақ;
Car body care;Автокөліктің шанағына күтім ;
Car interior care;Автокөліктің салонына күтім;
Car glass and headlight care;Автокөліктің фаралары мен әйнектеріне күтім;
Car tire and rim care;Автокөліктің дөңгелектері мен дискілеріне күтім;
Polishing kits;Лак-бояу жинақтары;
GPS navigators;GPS навигаторлар;
GPS-trackers;GPS-трекерлер;
HUD projectors;HUD проекторлар;
Car antennas;Автокөлік антенналары;
Car on-board computers;Автокөліктің борт компьютерлері;
Car video interfaces and navigation boxes;Автокөліктің видеоинтерфейсі мен навигация блоктары;
Car TVs and monitors;Автокөлікке қойылатын теледидар, мониторлар;
Car speakerphone;Автокөліктегі қатты дауыс байланыс құрылғылары;
Car code readers;Автосканерлер;
DVRs;Видеотіркегіштер;
Car cruise control;Круиз-контроль;
Parking cameras;Көлік қаңтару камералары;
Parking sensors;Парктрониктер;
Radar detectors;Детектор-радарлар;
Cigarette lighter splitters;Жалғап оталдырғыш тармақтары;
Accessories for luggage systems;Жүк салғыш жүйелерінің керек-жарағы;
Luggage ski and snowboard mounts;Шаңғы мен сноубордқа арналған жүксалғыш;
Luggage boxes;Жүксалғыш бокстар;
Luggage baskets;Жүк себеттері;
Bicycle racks;Велосипед бекіткіштер;
Roof rails and racks;Рейлингтер мен көлденең біліктер;
Fairings;Фейринг;
GBO components;ГБҚ қосалқы жабдықтары;
GBO kits;ГБҚ жинақтары;
Car deflectors;Автокөлік дефлекторлары мен спойлерлері;
Car mudguards;Дөңгелектен шашыраған суды қалқалағыштар;
Bumpers and sills protection;Бамперлер мен табалдыоық қорғаныштары;
Crankcase and gearbox protection;Картер мен беріліс қорабын қорғау;
Car protective pads;Есікке қорғаныш жапсырмалары;
Body kits for cars;Бодикит жинақтары;
Decorative and protective films for cars;Автокөлікке декоратив жапсырмалар мен үлдірлер;
License plate frames;Автокөлік нөмірінің жақтауы;
Snorkels for SUVs;Жол талғамайтын көліктердің снорклдары;
Noise insulation for cars;Автокөлікке арналған шу өткізбейтін құрылғылар;
Antifreezes;Антифриз;
Fork oil;Форк майлары;
Hydraulic fluids and oils;Гидравлика сұйықтары мен майлары;
Motor oils;Мотор майлары;
Additives and flushing for cars;Автокөлік майларына қоспалар мен жуғыштар;
Lubricants for cars;Автокөлік жағармайы;
Brake fluids;Тежегішке құятын сұйық;
Gear oils;Трансмиссия майы;
Motorcycle protection;Мотоциклшілердің қорғаныш киімі;
Moto jumpsuits;Мотоциклшілердің комбинезоны;
Motocofra;Моциклшілердің кофры;
Motorcycle jackets;Мотоциклшілердің курткасы;
Motorcycle shoes;Мотоциклшілердің аяқ киімі;
Motorcycle glasses;Мотоциклшілердің көзәйнегі;
Motorcycle gloves;Мотоциклшілердің қолғабы;
Motorcycle shirts and motorcycle sweatshirts;Мотоциклшілердің жейдесі мен кофталары;
Motorcycle helmets;Мотоциклшілердің шлемдері;
Motorcycle pants;Мотоциклшілердің шалбары;
Intercoms for motorcyclists;Мотоциклшілердің өзара сөйлесетін құрылғылары;
Mototechnics;Мототехника;
Specialty vehicles;Арнайы техника;
Motorcycle inner tubes;Мотоциклге арналған камералар мен дөңгелек таспалары;
Motorcycle tires;Мотоцикл дөңгелектері;
Heavy duty tires;Жүк көлігінің дөңгелектері;
Commercial vehicle tires;Коммерциялық көлік дөңгелектері;
Passenger car tires;Жеңіл және жол толғамайтын көліктердің дөңгелектері;
Workwear accessories;Арнайы киімнің керек-жарағы;
Ties and bow ties;Галстуктар мен көбелек-галстуктар;
Jibbitz;Джиббитс;
Fashion suspenders;Тартпа;
Belts;Белбеулер;
Key wallets and keychains;Кілтбаулар мен кілтсалғыштар;
Umbrellas;Қолшатырлар;
Lighter accessories;Портсигар және темекі тұтатқыштың керек-жарағы;
Rosary;Тасбиық;
Holders for glasses;Көзәйнек ұстағыштар;
Sunglasses;Күннен қорғайтын көзәйнек;
Eyeglass care products;Көзәйнекке күтім жасау;
Eyeglass cases;Көзәйнек сауыттары;
Travel accessories;Жолға керек-жарақ;
Travel duffels;Жолдобалар;
Wallets;Әмиян, есімхат қалталары;
Sleep masks;Ұйықтағанда тағатын маска;
Passport holders;Құжат қаптары;
Replacement bag straps;Сөмке баулары;
Fashion handbags;Сөмкелер мен рюкзактар;
Suitcases;Шабадандар;
Suitcase covers;Чехлы для чемоданов;
Pocket watch;Қалта сағат;
Watch straps and bracelets;Қолсағат пен білезік баулары;
Wrist watches;Қолсағат;
Jewelry watches;Зергерлік сағаттар;
Fashion hats and caps;Бас киім;
Fashion gloves and mittens;Қолғап, биялай;
Fashion scarves;Орамал, бөкебай;
Gynecological tests;Гинекологиялық тестілер;
Accessories for blood glucose monitors;Глюкометр тест-таспалары;
Rapid tests for COVID-19;Экспресс-тест;
Inflammation and infections;Ауру мен қабыну;
Boost immunity;Дәрумен заттар;
Obstetrics and gynecology;Гинекология мен урология;
Disinfectants;Дезинфекция құралдары;
Stomach intestines liver;Асқазан, ішек, бауыр;
Vision;Көз саулығы;
Skin hair nails;Тері, тырнақ, шаш;
Healing creams;Емдік жақпамайлар;
Muscles bones joints;Бұлшықет, сүйек, буын;
Neurology;Жүйке жүйесі;
Allergy;Аллергияда керек дәрілер;
Cold and flu;Суық тигенге, тұмауға, тамақ ауырғанға;
Antimicrobial drugs;Микробқа қарсы препараттар;
Cardiovascular system;Жүрек-қан тамыр жүйесіне;
Endocrinology;Эндокрин жүйесі, диабетке;
Enteral nutrition;Емдік тамақтану;
Phytoteas and herbal preparations;Фитошай, шөп жинақтары;
Hand sanitizers;Қолға арналған антисептик;
Virus blockers;Вирусқа тосқауыл қойғыштар;
Hygienic garment liners;Киімге салынатын гигиеналық төсемелер;
Lice combing tools;Бит тарайтын құралдар;
Lubricants;Лубриканттар;
Condoms;Презервативтер;
Nursing pads;Омырауға салатын төсемелер;
Incontinence pads;Урологиялық төсемелер;
Medicine storage boxes;Дәріхана қорапшасы мен дәрі салып жүретін қорапшалар;
Shoe covers;Медициналық бахилдер;
Bandaging materials;Бинт, бұласыр, мақта;
Disinfection tunnels;Дезинфекциялаушы өткелдер;
Disinfection mats;Дезинфекциялаушы төсеніштер;
Medical face masks;Қорғаныш маскалары;
Face shields;Бетті қорғап тұратын экрандар;
Analysis containers;Анализ жинайтын контейнерлер;
Disposable trousers;Медициналық киім-кешек;
Medical gloves;Медициналық қолғаптар;
Disinfectant wipes;Дезинфекциялаушы майлықтар;
Syringes and enemas;Клизма, бүріккіштер;
Thermo containers medical;Медициналық теромоконтейнерлер;
Medical caps;Медициналық бас киімдер;
Syringes needles and injectors;Шприц,  ине, инъекторлар;
Hearing aid accessories;Есту аппараттарының керек-жарағы;
Breathalyzers;Алкотестерлер;
Magnetic therapy devices;Магнит терапия аппараттары;
Baby nasal aspirators;Сәбилерге арналған аспираторлар;
Bioenergy massagers;Биоэнергетикалық массажерлар мен материалдар;
Voice devices;Дауыс қалыптастыратын аппараттар;
Defibrillators;Дефибриллятор;
Diagnostic equipment;Диагностика жабдығы;
Insulin pumps;Инсулин помпалары мен олардың керек-жарағы;
Disinfection germicidal lamps;Кварц шамдары мен сәулелендіргіштер;
Oxygen cylinders;Кислородные баллоны;
Oxygen concentrators;Оттегі концентраторлары;
Accessories for blood pressure monitors;Тонометрдердің манжеталары мен керек-жарағы;
Masks and glasses for newborns;Жаңа туған сәбилерге арналған маскалар мен көзәйнек;
Massage cups;Массаж жасайтын лоңқа;
Massage beds;Массаж жасайтын төсектер;
Blood glucose monitors;Медициналық глюкометрлер мен қан анализаторлары;
Medical thermometers;Медициналық термометрлер;
Nebulizers;Небулайзер;
Neurostimulators;Нейростимулятор;
Nitrate meters;Нитратомерлер мен экотестерлер;
Illuminators and reflectors;Жарық беретін және рефлектор құрылғылар;
Pulse oximeters;Пульсоксиметрлер;
Hearing aid consumables;Дыбыс есту аппараттарының қосалқы бөлшектері;
Height meters;Бой өлшегіштер;
Hearing aids;Есту аппараттары;
Blood pressure monitors;Тонометрлер;
Allergy Devices;Мұрыннан су аққанда, аллергия тигенде керек құрылғылар;
Physiotherapy equipment;Физиотерапя аппараттары;
Surgical aspirator;Хирургические отсасыватели;
Massagers and applicators;Массаж жасайтын құралдар;
Optics accessories;Оптика керек-жарағы;
Contact lenses;Жанасу линзалары;
Lenses for glasses;Көзәйнек линзалары;
Eyeglasses;Көзәйнек жиектері;
Computer glasses;Көруді жақсартатын көзәйнек;
Soaking solutions;Линза салатын ерітінділер;
Bandages and orthoses;Бандаж, ортез;
Brace;Брейс;
Medical compression hosiery;Компрессиялық трикотаж;
Orthopedic products;Аяқ пен табан түзегіштер;
Posture correctors;Еңсе түзегіштер;
Orthopedic Therapy Shoes;Ортопедиялық аяқ киім;
Orthopedic corsets;Ортопедиялық корсеттер;
Orthopedic insoles;Ортопедиялық ұлтарақтар;
Ear correctors;Құлақ түзегіштер;
Rehabilitation accessories;Оңалту тауарларының керек-жарағы;
Verticalizers;Вертикализатолар;
Wheelchairs;Сүйреп жүретін креслолар;
Medical functional beds;Функциясы көп төсектер;
Mobile verticalizers;Мобильді вертикализатор;
Supports and walkers;Сүйеніш, тіректер;
Ramps;Пандус, көтергіштер;
Walkers and rollators;Серуендеуге арналған тіректер;
Anti-decubitus mattresses and pillows;Адамның денесін көгертпейтін матрастар;
Rehabilitation simulators;Оңалту тренажерлері;
Sanitary chairs;Санитарлық отырғыштар;
Positioning pads;Адамның бойын тіктеп, бекітіп қоятын құралдар;
Canes and crutches;Балдақ-таяқтар;
Breast exoprostheses;Сүт безінің экзопротездері;
Oxygen Accessories;Медициналық жабдықтарға керек-жарақ;
Conductive gels;Откізгіш гельдер;
Laboratory centrifuge;Зертхана жабдықтары;
Laboratory analyzers;Зертхана анализаторлары;
Medical furniture;Медициналық жиһаз;
Medical instruments;Медициналық динамометрлер;
Ophthalmology;Офтальмология;
X-ray films;Диагноститка жабдығының жұмсалатын материалдары;
Surface disinfectants;Дезинфекция құралдары;
Dental equipment;Стоматология;
Gypsum and Tires;Стоматология;
Heating pads;Жылытқыштар мен электр жылытқыштар;
Feces bag;Нәжіс және зәр алатын ыдыстар;
Inflatable Nursing Baths;Ауруларға күтім жасауға арналған үрленетін ванналар;
Medical diapers and sheets;Жаялық, төсеніштер;
Incontinence protective briefs and diapers;Ересектерге арналған жөргектер;
Patient Care Products;Ауруларға күтім жасауға арналған құралдар мен құрылғылар;
Barometers;Барометрлер;
Fans;Желдеткіштер;
Water heaters;Су ысытқыштар;
HVAC accessories;Климат техникасының қосалқы бөлшектері;
Air conditioners;Кондиционерлер;
Ozonizers;Озондаушылар;
Dehumidifiers;Ауа құрғатқыштар;
Boilers;Жылыту қазандықтары;
Cleaners and humidifiers;Ауа тазартқыштар мен ауа ылғалдағыштар;
Recuperators;Рекуператорлар;
Electronic weather stations and thermometers;Цифрлық метеостанцялар мен термометрлер;
