CAT CODE;RUS;KAZ;LEVEL;
Motorcycle gear;Мотоэкипировка;Мотоциклшілерді_ киім-кешегі;2;
Specialty vehicles and mototechnics;Спецтехника и мототехника;Арнайы ж_не мототехника;2;
Tires;Шины;Д__гелектер;2;
Hair accessories;Аксессуары для волос;Шаш_а арнал_ан керек-жара_;2;
Clothing accessories;Аксессуары для одежды и обуви;Киім-кешек пен ая_ киімні_ керек-жара_ы;2;
Accessories;Зонты, брелоки и портсигары;_олшатыр, кілт салпынша_ы, портсигар;2;
Fashion accessory sets;Комплекты аксессуаров;Керек-жара_ жиынты_тары;2;
Fashion glasses and accessories;Очки и аксессуары;К_з_йнек пен керек-жара_ы;2;
Wedding accessories;Свадебные аксессуары;_йлену тойыны_ керек-жара_ы;2;
Travel gear;Сумки, чемоданы, кошельки;С_мке, шабадан, _миян;2;
Watches;Часы;Са_ат;2;
Hats and scarves;Шапки, шарфы, перчатки;Бас киім, б_кебай, _ол_ап-биялай;2;
Vitamins;Витамины и БАД;Д_румендер мен ББ_;2;
Diagnostic tests;Диагностические тесты;Диагностикалы_ тест;2;
Medications;Лекарства;Д_рі-д_рмек;2;
Dentistry;Лечебное питание и травы;Ем-д_м мен емдік ш_птер;2;
Hygiene;Личная гигиена;Жеке бас гигиенасы;2;
Consumables;Маски, бинты, шприцы;Маска, бинт, шприц;2;
Medical equipment;Медицинские приборы;Медицина жабды_тары;2;
Medical devices and massagers;Медтехника;Медициналы_ техника;2;
Lenses glasses accessories;Оптика;Оптика;2;
Orthopedics;Ортопедия;Ортопедия;2;
Rehabilitation;Реабилитация;О_алту;2;
Laboratory equipment;Специальное оборудование;Арнайы жабды_;2;
Patient care;Уход за больными;Нау_астар_а к_тім;2;
Climate equipment;Климатическая техника;Климат техникасы;2;
Big home appliances;Крупная техника для дома;_йге арнал_ан ірі техника;2;
Small home appliances;Малая техника для дома;_йге арнал_ан ша_ын техника;2;
Kitchen appliances;Мелкая техника для кухни;Ас_йге арнал_ан ша_ып техника;2;
Vending machines;Торговые автоматы;Сауда автоматтары;2;
Subscriptions for children;Абонементы для детских развлекательных учреждений;Балалар_а арнал_ан ойын-сауы_ орталы_тарына абонементтер;2;
Childrens transport;Детский транспорт;Балалар к_лігі;2;
Baby feeding;Детское питание;Балалар та_амдары;2;
Baby care;Для малыша и мамы;С_би мен анасына арнал_ан тауарлар;2;
Playground;Игровая площадка;Ойын ала_ы;2;
Toys;Игрушки;Ойыншы_;2;
Baby strolls and trips;Прогулки и поездки;Серуен мен сапар;2;
Attractions for indoors;Аттракционы для помещений;_имаратты_ ішінде т_ратын аттракциондар;2;
Fortune telling and esoteric;Гадания и эзотерика;Бал ашу ж_не эзотерика;2;
Party games;Игры для компаний;Топ болып ойнайтын ойындар;2;
Books;Книги;Кітаптар;2;
CDs and vinyl;Музыкальные диски и пластинки;Музыка жазыл_ан дискілер мен пластинкалар;2;
Musical instruments;Музыкальные инструменты;Музыка аспаптары;2;
Optical instruments;Оптические приборы;Оптические приборы;2;
Hobbies and crafts;Хобби и творчество;_нер ж_не хобби;2;
Paper products;Бумага и бумажная продукция;_а_аз ж_не _а_аз _німдері;2;
Demonstration boards;Демонстрационные доски;Демонстрационные доски;2;
Small office supplies;Мелкоофисные принадлежности;Ке_сені_ майда-ш_йде заттары;2;
Office supplies;Офисные принадлежности;Ке_сені_ керек-жара_ы;2;
Writing Supplies;Письменные принадлежности;Жазу керек-жара_ы;2;
Post-press tools;Постпечатное оборудование;Баспадан кейінгі __рал-жабды_;2;
Trade supplies;Торговые и рекламные принадлежности;Сауда мен жарнаманы_ керек-жара_ы;2;
Equipment for study;Учебное оборудование и приборы;Сауда мен жарнаманы_ керек-жара_ы;2;
Drawing supplies;Чертежные принадлежности;Сызу керек-жара_ы;2;
School supplies;Школьные принадлежности;О_ушыны_ керек-жара_ы;2;
Stamp accessories;Штемпельные принадлежности;М_р басатын керек-жара_;2;
Hardware;Комплектующие;_осал_ы жабды_тар;2;
Desktop computers;Настольные компьютеры;Настольные Компьютерлер;2;
Notebooks and accessories;Ноутбуки и аксессуары;Ноутбуктар мен оларды_ керек-жара_ы;2;
Office equipment and consumables;Оргтехника и расходные материалы;Ке_се техникасы ж_не ж_мсалатын материалдар;2;
Peripherals;Периферия;Компьютер жабды_тары;2;
Tablets and accessories;Планшеты и аксессуары;Планшеттер мен оларды_ керек-жара_ы;2;
Network hardware;Сетевое оборудование;Желі жабды_тары;2;
Electronic equipment for trade;Электронное оборудование для торговли;Сауда орындарыны_ электронды_ жабды_тары;2;
Tools and accessories;Аксессуары для красоты;С_лулы__а арнал_ан керек-жара_;2;
Decorative cosmetics;Декоративная косметика;Бет бояуы;2;
Skin care sets;Декоративные и уходовые наборы косметики;Бет бояуы мен бет к_тіміне арнал_ан косметика жина_тары;2;
Shaving and hair removal;Депиляция и эпиляция;Депиляция мен эпиляция;2;
Nail care;Для маникюра и педикюра;Маникюр мен педикюрді_ керек-жара_ы;2;
Hair styling and care tools;Инструменты для укладки, ухода и наращивания волос;Шаш с_ндеуге, к_тім жасау_а ж_не шаш _сіруге керек аспаптар ;2;
Hair styling and care tools;Инструменты для укладки, ухода и наращивания волос;Шаш с_ндеуге, к_тім жасау_а ж_не шаш _сіруге керек аспаптар;2;
Cosmetics and accessories for eyebrows and eyelashes;Косметика и аксессуары для бровей и ресниц;_ас пен кірпікке арнал_ан косметика мен керек-жара_;2;
Massagers;Массажеры, массажные кресла, миостимуляторы;Массажер, массаж жасайтын орынды_тар мен миостимуляторлар;2;
Beauty salon equipment;Мебель и оборудование для салонов красоты;С_лулы_ салондарына арнал_ан жи_аз бен жабды_тар;2;
Perfumes;Парфюмерия;Парфюмерия;2;
Beauty care equipment;Техника и оборудование для красоты;С_лулы__а арнал_ан техника мен __рал-жабды_;2;
Products for aromatherapy;Товары для ароматерапии;Ароматерапия_а арнал_ан тауарлар;2;
Shaving products;Товары для бритья;_ырыну_а арнал_ан тауарлар;2;
Products for tattoos and permanent makeup;Товары для тату и перманентного макияжа;Татуаж бен перманент макияж_а арнал_ан тауарлар;2;
Hair care;Уход за волосами;Шаш к_тімі;2;
Skin care;Уход за лицом;Бет к_тімі;2;
Oral care;Уход за полостью рта;Ауыз _уысы к_тімі;2;
Body care;Уход за телом;Бой к_тімі;2;
Bathroom;Ванная комната;Жуынатын б_лме;2;
Living room;Гостиная;_она_ б_лме;2;
Children room;Детская комната;Балалар б_лмесі;2;
Kitchen;Кухня;Ас_й;2;
Office;Офис и кабинет;Ке_се мен кабинет;2;
Entrance hall;Прихожая;Кіреберіс б_лме;2;
Storage systems and shelves;Системы хранения, полки, этажерки;Зат са_тау ж_йелері, с_релер мен _абат с_релер;2;
Bedroom;Спальня;Жатын б_лме;2;
Trade software;Торговое оборудование;Сауда жабды_тары;2;
Fittings and components for furniture;Фурнитура и комплектующие для мебели;Жи_аз фурнитурасы мен _осал_ы жабды_тары;2;
Women shoes;Женская обувь;_йелдерді_ ая_ киімі;2;
Men shoes;Мужская обувь;Ерлерді_ ая_ киімі;2;
Girl shoes;Обувь для девочек;_ыздарды_ ая_ киімі;2;
Boy shoes;Обувь для мальчиков;_лдарды_ ая_ киімі;2;
Girl fashion;Девочкам;_ыз балалар_а;2;
Women fashion;Женщинам;_йелдерге;2;
Boy fashion;Мальчикам;_л балалар_а;2;
Men fashion;Мужчинам;Ерлерге;2;
Newborn clothing;Одежда для новорожденных;Н_рестелерге арнал_ан киім-кешек;2;
Carnival accessories;Карнавальные костюмы, аксессуары для вечеринок;Карнавал костюмдері, сауы_ кешіні_ керек-жара_ы;2;
New year decor;Новогодние товары;Жа_а жыл_а арнал_ан тауарлар;2;
Gifts;Подарки;Сыйлы_тар;2;
Gift wrapping supplies;Подарочная упаковка;Сыйлы_ _аптамалары;2;
Souvenirs;Сувенирная продукция;К_десый б_йымдары;2;
Holiday decorations;Украшения для праздников;Мерекені _рлеу б_йымдары;2;
Flowers and bouquets;Цветы и букеты;Г_л ж_не г_л шо_тары;2;
Alcohol;Алкоголь;Ішімдік;2;
Everything for baking;Все для выпечки;Нан-то_аш пісіруге керек-жара_;2;
Ready meal;Готовая еда;Дайын ас;2;
Frozen foods;Замороженные продукты, мороженое;М_здатыл_ан _німдер, балм_зда_;2;
Sausages and meat delicacies;Колбасы, сосиски, деликатесы;Ш_жы_, деликатестер;2;
Canned goods;Консервация;Консерві жабу_а керек-жара_;2;
Grains and pasta;Крупы, хлопья, макароны;Да_ылдар, _лпектер, макарон;2;
Spices and seasoning;Масла, соусы;Май, т_зды_тар;2;
Dairy and eggs;Молочные продукты, яйца;С_т _німдері, ж_мырт_а;2;
Meat and poultry;Мясо и птица;Мал еті мен __с еті;2;
Fruits and vegetables;Овощи, фрукты, ягоды, грибы;Жеміс, к_к_ніс, жидек, са_ырау__ла_;2;
Food grade preservatives antioxidants;Пищевые консерванты, антиоксиданты;Та_ам_а арнал_ан консерванттар, антиоксиданттар;2;
Seafood;Рыба, морепродукты;Балы_, те_із _німдері;2;
Sugar salt spices;Сахар и заменители, соль, специи;_ант ж_не _ант алмастыр_ыш, т_з, д_мдеуіштер;2;
Pastry;Сладости и выпечка;Т_ттілер мен піспенан;2;
Soy vegetable meat sausages sausages;Соевое, растительное мясо, колбасы, сыры;Соя еті, _сімдік тектес ет, ш_жы_, ірімшік;2;
Water and beverages;Соки, вода, напитки;Шырын, су, сусын;2;
Freeze dried food on a camping trip;Сублимированная туристическая еда;Туристерге арнал_ан сублимациялан_ан азы_;2;
Bread and bakery;Хлебные изделия;Нан _німдері;2;
Tea and coffee;Чай, кофе, какао;Шай, кофе, какао;2;
Chips and nuts;Чипсы, орехи, снэки;Чипстер, жа__а_тар, снэктер;2;
Climbing equipment;Альпинизм и скалолазание;Альпинизм ж_не __з_а _рлеу;2;
Boxing and martial arts;Бокс и единоборства;Бокс ж_не жекпе-жек;2;
Cycling;Велоспорт;Велоспорт;2;
Water sports;Водный спорт;Суда_ы спорт;2;
Winter sports;Зимний спорт;_ыс_ы спорт;2;
Equestrian equipment;Конный спорт;Ат спорты;2;
Track and field;Легкая атлетика;Же_іл атлетика;2;
Powerlifting;Пауэрлифтинг;Пауэрлифтинг;2;
Roller skating;Роликовые коньки и лыжероллеры;Ролик коньки мен ша__ы роллер;2;
Outdoor;Самокаты, гироскутеры, моноколеса;Самокат, гироскутер, монод__гелек;2;
Sports protection;Спортивная защита и экипировка;Спортшыларды_ _ор_аныш б_йымдары мен арнайы киімі;2;
Sports clothing;Спортивная одежда и обувь;Спорт_а арнал_ан киім-кешек пен ая_ киім;2;
Sports nutrition;Спортивное питание;Спортшыларды_ та_амдары;2;
Leisure sports;Спортивные игры;Спорт ойындары;2;
Yoga goods;Товары для йоги;Йога_а арнал_ан тауарлар;2;
Hunting equipment;Товары для охоты и стрельбы;А_шылы_ пен саятшылы__а арнал_ан тауарлар;2;
Fishing equipment;Товары для рыбалки;Балы_шыларды_ керек-жара_ы;2;
Self-defense goods;Товары для самообороны;_зін-_зі _ор_ау_а арнал_ан тауарлар;2;
Fitness;Товары для фитнеса;Фитнеске арнал_ан тауарлар;2;
Exercise and fitness;Тренажеры;Тренажерлар;2;
Camping and hiking;Туризм и отдых на природе;Туризм ж_не таби_ат аясында_ы сейіл;2;
Rhythmic gymnastics and dance;Художественная гимнастика и танцы;К_ркем гимнастика ж_не би;2;
Gates and barriers;Ворота и ограждения;_а_па мен _оршау;2;
Doors;Двери и окна;Есік-терезе;2;
Power tools;Инструменты;__рал-сайман;2;
Decoration materials;Отделочные материалы;_рлеуші материалдар;2;
Plumbing;Сантехника;Сантехника;2;
Security systems;Системы безопасности;_ауіпсіздік ж_йелері;2;
Heating equipment;Системы отопления и вентиляции;Жылыту ж_не желдету ж_йелері;2;
Construction protective equipment;Средства индивидуальной защиты;Средства индивидуальной защиты;2;
Construction equipment;Строительное оборудование;__рылыс жабды_тары;2;
Building materials;Строительные материалы;__рылыс материалдары;2;
Electrical equipment;Электрика;Электрика;2;
Audio;Аудиотехника;Аудио техникасы;2;
Video;Видеотехника;Видео техникасы;2;
Headphones;Наушники и гарнитуры;__ла__аптар мен гарнитуралар;2;
Entertainment;Развлечения;Ойын-сауы_;2;
Stage equipment;Сценическое оборудование;Сахна жабды_тары;2;
TVs;Телевизоры;Телевизоры;2;
Photo_Video;Фото- и видеокамеры;Фото- видеокамералар;2;
Phone accessories;Аксессуары для телефонов;Телефондарды_ керек-жара_ы;2;
Gadgets;Гаджеты;Гаджеттер;2;
Mobiles;Мобильные телефоны;Мобильные телефоны;2;
Cordless telephones;Радиотелефоны;Радиотелефоны;2;
Smartphones;Смартфоны;Смартфоны;2;
Satellite phones and communicators;Спутниковые телефоны и коммуникаторы;Спутник телефондар мен коммуникаторлар;2;
Vegetable garden goods;Дача, сад и огород;Саяжай, бау-ба_ша;2;
Home textiles;Домашний текстиль;_йге арнал_ан мата б_йымдар;2;
Home interior;Интерьер;_й жасауы;2;
Lighting;Освещение;Жары_ шамдары;2;
Kitchenware;Посуда и принадлежности;Ыдыс-ая_ пен керек-жара_;2;
Smart house;Умный дом;Smart _й;2;
Household goods;Хозяйственные товары;Шаруашылы_ тауарлары;2;
Pet accessories;Аксессуары для животных;Жануарларды_ керек-жара_ы;2;
Veterinary pharmacy;Ветаптека;Жануарларды_ д_рі-д_рмегі;2;
Hygiene and care for animals;Гигиена и уход за животными;Жануарларды_ тазалы_ы мен к_тімі;2;
Pet grooming;Груминг;Жануарларды _ыр_у;2;
Rodents goods;Для грызунов;Кеміргіштерге;2;
Cat goods;Для кошек;Мысы_тар_а;2;
Bird goods;Для птиц;__стар_а;2;
Fish and reptiles goods;Для рыб и рептилий;Балы_тар мен _осмекенділерге;2;
Livestock goods;Для сельскохозяйственных животных;Мал_а;2;
Dog goods;Для собак;Иттерге;2;
Imitation jewelry;Бижутерия;Бижутерия;2;
Jewelry Equipment;Ювелирное оборудование, подставки и фурнитура;Зергерлік жабды_тар, т__ырлар мен фурнитура;2;
Jewelry;Ювелирные украшения;Зергерлік б_йымдар;2;
Car business cards;Автомобильные визитки;Авток_лік есімхаттары;3;
Car wheel covers;Автомобильные колпаки;Авток_лік ты_ындары;3;
Car awnings;Автомобильные маркизы;Авток_лік маркиздері;3;
Car organizers and bags;Автомобильные органайзеры и сумки;Авток_лік органайзерлер мен  с_мкелері;3;
Car ashtrays;Автомобильные пепельницы;Авток_лікке _оятын к_лсал_ыш;3;
Car pillows;Автомобильные подушки;Авток_лікке _оятын жасты_;3;
Car curtains;Автомобильные шторки и зонты;Авток_лікке _оятын перде мен шатыр;3;
Car tents;Автопалатки;Авток_лік шатыр-_аптары;3;
Hood and trunk stops;Газовые упоры капота и багажника;Капот пен ж_ксал_ышты_ газ тіректері;3;
Protective tents-covers;Защитные тенты-чехлы;_ор_аныс тент жабындары;3;
Car mats and accessories;Коврики для автомобиля и аксессуары;Авток_лік т_сеніштері мен керек-жара_ы;3;
Sets for motorist;Наборы автомобилиста;Авток_лік ж_ргізушісіні_ жина_ы;3;
Car dashboard covers;Накидки на панель приборов автомобиля;Авток_ліктерді_ саймандар та_тасына жап_ыштар;3;
Steering wheel covers;Оплетки и чехлы на руль;К_лік рулін _аптайтын орамалар;3;
Security bolts and nuts;Секретные болты и гайки;Жасырын б_рандалар мен гайкалар;3;
Hub spacers;Ступичные проставки;Ступица _ондыр_ылары;3;
Automotive seat covers;Чехлы для салона;Авток_лік орынды_тарыны_ _аптары;3;
Wiper blades;Щетки стеклоочистителей;_йнек тазала_ыш _ылша_тары;3;
FM-transmitters;FM-трансмиттеры;FM-трансмиттер;3;
Head units;Автомагнитолы;Автомагнитолла;3;
Car amplifiers;Автомобильные усилители;К_ліктегі дыбыс к_шейткіштер;3;
Car audio accessories;Аксессуары для автомобильной аудиотехники;Авток_ліктегі аудиотехниканы_ керек-жара_ы;3;
Acoustic boxes and podiums for cars;Акустические короба и подиумы для автомобилей;Авток_ліктерге акустика _ораптары мен к_тергіштері;3;
Car acoustic;Колонки и сабвуферы;Колонкалар мен сабвуферлер;3;
Frames for car radios;Переходные рамки для автомагнитол;Автомагнитолланы_ _ткізкіш жа_таулары;3;
Car airbags;Автомобильные подушки безопасности;Авток_лікті_ _ауіпсіздік жасты_ы;3;
Car signals;Автомобильные сигналы;Авток_лік дабылы;3;
Car filters;Автомобильные фильтры;Авток_лік с_згілері;3;
Autoeletrics;Автоэлектрика;Автоэлектрика;3;
Shock absorbers;Амортизаторы;Амортизаторлар;3;
Car tanks;Бачки;С_йы_ __ятын _ау_а;3;
Car exhaust system;Выхлопная система;Т_тін шы_ару ж_йесі;3;
Tire pressure sensors;Датчики давления в шинах;Д__гелектегі _ысым датчиктері;3;
Car oxygen sensors;Датчики кислорода;Оттегі датчиктері;3;
Mass air flow sensors;Датчики массового расхода воздуха;Ауа ж_мсалуын _ада_алайтын датчик;3;
Engines;Двигатели;_оз_алт_ыштар;3;
Car interior parts;Детали салона;Салонны_ заттары;3;
Car body parts;Кузовные детали;Шана_ детальдары;3;
Pumps and compressors;Насосы и компрессоры;Сор_ылар мен компрессорлар;3;
Car steering column cables;Подрулевые шлейфы;Руль астында_ы шлейф;3;
Timing belts and chains;Ремни и цепи ГРМ;Газтаратушы механизмні_ баулары мен шынжырлары;3;
Steering racks;Рулевые рейки;Руль рейкалары;3;
Candles and high voltage wires;Свечи и высоковольтные провода;Шамдар мен жо_ары кернеулі сымдар;3;
Cooling system;Система охлаждения;Сал_ындату ж_йесі;3;
Brake system;Тормозная система;Тежегіш ж_йелері;3;
Transmission and chassis;Трансмиссия и ходовая часть;Беріліс ж_не ж_ріс б_лімі;3;
Turbochargers;Турбонагнетатели;Турбоайда_ыштар;3;
Engines and engine parts;Элементы двигателя;_оз_алт_ыш элементтері;3;
Jacks;Автомобильные домкраты и подставки;Авток_лік домкраттары мен тіреуіштері;3;
Balancing Machine Quick Clamping Nuts;Быстрозажимные гайки для балансировочных станков;Те_шеу станоктарына арнал_ан жылдам _ысатын гайкалар;3;
Car inspection mirrors;Инспекционные зеркала для досмотра автомобиля;Авток_лікті тексеруге арнал_ан инспекциялы_ айналар;3;
Tool for piston group;Инструмент для поршневой группы;Поршень тобына арнал_ан __рал-жабды_;3;
Cylinder head repair tools;Инструменты для ремонта ГБЦ;Цилиндрлер блогыны_ басын ж_ндейтін __рал-жабды_;3;
Brake system tools;Инструменты для тормозной системы;Тежегіш ж_йесіне арнал_ан __рал-жабды_;3;
Keys and heads for lambda probe;Ключи и головки для лямбда-зонда;Лямбда-зонд_а арнал_ан кілттер мен кілт бастары;3;
Grease Gun Accessories;Комплектующие для смазочных шприцов;Майлау шприцтеріне арнал_ан _осал_ы б_лшектер;3;
Accessories for jacks;Комплектующие к домкратам;Домкраттарды_ _осал_ы б_лшектері;3;
Magnetic trays and plates;Магнитные поддоны и тарелки;Магнит тіреуіштер мен таба_тар;3;
Piston ring mandrels and extractors;Оправки и съемники для поршневых колец;Поршень са_иналарына арнал_ан жа_таулар мен алынатын детальдар;3;
Plunger grease guns;Плунжерные шприцы для смазки;Майлау_а арнал_ан плунжерлі шприцтер;3;
Pneumatic tire inflator;Пневмопистолеты для накачки шин;Д__гелекке жел толтыру_а арнал_ан пневмопистолеттер;3;
Bodywork straightening tool;Рихтовочный инструмент для кузовных работ;Шана_ ж_ндеу ж_мыстарына арнал_ан ри;3;
Pullers for steering;Съемники для рулевой;Руль жетегін а_ыт_ыш ;3;
Clip and cap strippers;Съемники клипс и пистонов обшивки салона;Салон _аптамасыны_ клипсалары мен пситондарын а_ыт_ыш;3;
Bearing pullers;Съемники подшипников;Подшипник а_ыт_ыш;3;
Spring removers;Съемники пружин;Серіппе а_ыт_ыш;3;
Filter strippers;Фильтросъемники;Фильтр а_ыт_ыш;3;
Spray booths filters;Фильтры окрасочных камер;Бояу камералараны_ фильтрлері;3;
Exhaust Hoses;Шланги для отвода выхлопных газов;Т_тінді б_рып _кететін шланг;3;
Car air compressors;Автокомпрессоры;Автокомпрессорлар;3;
Car inverters and converters;Автомобильные инверторы и преобразователи напряжения;Авток_лік инверторлары ж_не кернеуді т_рлендіргіштер;3;
Car winches;Автомобильные лебедки;Авток_лік шы_ыршы_тары;3;
Car vacuum cleaners;Автопылесосы;Авток_лік ша_сор_ыштары;3;
Car refrigerators;Автохолодильники;Авток_лікке _оятын то_азыт_ыш;3;
Tow hitch accessories;Аксессуары для фаркопов;Фаркоп керек-жара_ы;3;
Tow ropes;Буксировочные тросы;К_лік тіркейтін тростар;3;
Chargers and starters for batteries;Зарядные и пуско-зарядные устройства для аккумуляторов;Аккумуляторды _уаттайтын ж_не оталдырып _уаттайтын __рыл_ылар;3;
Load forks;Нагрузочные вилки;Аккумулятор к_йін _лшегіш;3;
Heaters for the engine and car interior;Обогреватели и кондиционеры двигателя и салона;Мотор мен салонды жылыт_ыш, сал_ындат_ыш;3;
Car battery clips;Пусковые провода;Оталдыру сымдары;3;
Tire pressure monitoring systems;Системы контроля давления в шинах;Д__гелектегі _ысымды _ада_алау ж_йесі;3;
Fuel canisters;Топливные канистры;Жанармай __ятын канистра;3;
Thermal insulation for car;Утеплители для автомобиля;Авток_лікті жылыту _аптамалары;3;
Hitch mounts;Фаркопы;Фаркоп;3;
Snow chains for cars;Цепи противоскольжения для автомобилей;Авток_лік д__гелегін сыр_анаудан са_тайтын шынжыр;3;
Car lamps;Автолампы;Авток_лік лампалары;3;
Ignition blocks;Блоки розжига;Т_тату блоктары;3;
Additional car lighting;Дополнительный автосвет;Авток_лікті_ _осымша жары_ы;3;
Car headlights;Фары и линзы;Фаралар мен линзалар;3;
Car alarms;Автосигнализации;Авток_лікті_ дабыл ж_йесі;3;
Anti-theft devices accessories;Аксессуары для противоугонных устройств;Авток_лікті _рылардан _ор_айтын ж_йені_ керек-жара_ы;3;
Key fobs and covers for car alarms;Брелоки и чехлы для автосигнализаций;Автосигнализация _абы мен салпынша_ы;3;
Stands for turning brake discs;Cтенды для проточки тормозных дисков;Тежегіш дискілерін егейтін стендтер;3;
Car lifts;Автоподъемники;К_лік к_тергіштер;3;
Car balancing machines;Балансировочные станки;Баланстайтын станоктар;3;
Car expanders;Борторасширители;Борт ке_ейткіштер;3;
Baths for checking car tires and tubes;Ванны для проверки автомобильных шин и камер;Авток_лік д__гелектері мен камераларын тексеретін ванналар;3;
Vulcanizers;Вулканизаторы;Вулканизаторлар;3;
Oil drain containers;Емкости для сбора масла;Май жинайтын ыдыстар;3;
Gas stations for car air conditioners;Заправочные станции для автокондиционеров;Авток_лік кондиционеріне с_йы_ __ятын станциялар;3;
Infrared dryers for car services;Инфракрасные сушки;Инфра_ызыл кептіргіштер;3;
Dispensing reels;Катушки раздаточные;Тарат_ыш катушкалар;3;
Oil dispensers and lubrication blowers;Маслораздаточные установки и нагнетатели смазки;Май тарату __рыл_ылары ж_не жа_армай айда_ыштар;3;
Car service furniture;Мебель для автосервиса;Автосервиске арнал_ан жи_аз;3;
Pumps for transferring technical liquids;Насосы для перекачки технических жидкостей;Насосы для перекачки технических жидкостей;3;
Press machines;Пресс-станки;Пресс-станоктар;3;
Car diagnostic equipment;Приборы для диагностики авто;Авток_лікке диагностика жасайтын __ралдар;3;
Devices for adjusting and checking headlights;Приборы для регулировки и проверки света фар;Фар жары_ын реттеп, тексеретін __ралдар;3;
Stends for rims straightening;Стенды для правки дисков;Д__гелек дискілерін т_зеу стендтері;3;
Stands for testing and flushing injectors;Стенды для тестирования и промывки форсунок;Форсункаларды тексеріп, жуатын стендтер;3;
Alignment stands;Стенды развал-схождения;Геометрия стендтері;3;
Racks for painting parts;Стойки для покраски деталей;Детальдарды бояйтын т__ырлар;3;
Fuel dispenser equipment;Топливораздаточное оборудование;Отын тарат_ыш жабды_тар;3;
Transmission racks;Трансмиссионные стойки;Трансмиссия тіреуіштері;3;
Washers for parts;Установки для мойки деталей;Детальдарды жуатын _ондыр_ылар;3;
Installations for cleaning the cooling system and changing the coolant;Установки для очистки системы охлаждения и замены охлаждающей жидкости;Сал_ындату ж_йесін тазалау_а ж_не сал_ындататын с_йы_ты алмастыру_а арнал_ан _ондыр_ылар;3;
Plants for the collection of oils and technical fluids;Установки для сбора масла и технических жидкостей;Май мен техникалы_ с_йы_тарды жинайтын _ондыр_ылар;3;
Car tire changers;Шиномонтажные станки;Д__гелек монтаждайтын станоктар;3;
Auto painting works;Автомалярные работы;Авток_лік бояу ж_мыстары;3;
Adhesives and fixatives for car repair;Клеи, герметики и фиксаторы для ремонта автомобилей;Авток_лік ж_ндеуге арнал_ан желім, герметик, бекіткіштер;3;
Car wash accessories;Принадлежности для мойки автомобилей;Авток_лік жуу_а керек-жара_;3;
Car body care;Уход за кузовом автомобиля;Авток_лікті_ шана_ына к_тім ;3;
Car interior care;Уход за салоном автомобиля;Авток_лікті_ салонына к_тім;3;
Car glass and headlight care;Уход за стеклами и фарами автомобилей;Авток_лікті_ фаралары мен _йнектеріне к_тім;3;
Car tire and rim care;Уход за шинами и дисками автомобилей;Авток_лікті_ д__гелектері мен дискілеріне к_тім;3;
Polishing kits;не использовать Н;Лак-бояу жина_тары;3;
GPS navigators;GPS навигаторы;GPS навигаторлар;3;
GPS-trackers;GPS-трекеры;GPS-трекерлер;3;
HUD projectors;HUD проекторы;HUD проекторлар;3;
